date,covid,reanimation,deces,deces_cum
01/01/2020,1,0,0,0
01/02/2020,1,0,0,0
01/03/2020,1,0,0,0
01/04/2020,1,0,0,0
01/05/2020,1,0,0,0
01/06/2020,1,0,0,0
01/07/2020,1,0,0,0
01/08/2020,1,0,0,0
01/09/2020,1,0,0,0
01/10/2020,1,0,0,0
01/11/2020,1,0,0,0
01/12/2020,1,0,0,0
01/13/2020,1,0,0,0
01/14/2020,1,0,0,0
01/15/2020,1,0,0,0
01/16/2020,1,0,0,0
01/17/2020,1,0,0,0
01/18/2020,1,0,0,0
01/19/2020,1,0,0,0
01/20/2020,1,0,0,0
01/21/2020,1,0,0,0
01/22/2020,1,0,0,0
01/23/2020,1,0,0,0
01/24/2020,2,1,0,0
01/25/2020,3,1,0,0
01/26/2020,3,1,0,0
01/27/2020,3,1,0,0
01/28/2020,3,1,0,0
01/29/2020,3,1,0,0
01/30/2020,3,1,0,0
01/31/2020,4,1,0,0
02/01/2020,4,1,0,0
02/02/2020,5,2,0,0
02/03/2020,5,2,0,0
02/04/2020,4,1,0,0
02/05/2020,4,1,0,0
02/06/2020,4,1,0,0
02/07/2020,4,1,0,0
02/08/2020,4,1,0,0
02/09/2020,4,1,0,0
02/10/2020,4,1,0,0
02/11/2020,3,1,0,0
02/12/2020,3,1,0,0
02/13/2020,3,1,0,0
02/14/2020,3,1,0,0
02/15/2020,3,1,0,0
02/16/2020,3,1,0,0
02/17/2020,3,1,0,0
02/18/2020,3,1,0,0
02/19/2020,4,1,0,0
02/20/2020,4,1,0,0
02/21/2020,5,1,0,0
02/22/2020,6,1,0,0
02/23/2020,6,1,0,0
02/24/2020,6,1,0,0
02/25/2020,7,1,0,0
02/26/2020,7,1,0,0
02/27/2020,9,2,0,0
02/28/2020,11,2,0,0
02/29/2020,12,3,0,0
03/01/2020,16,3,1,1
03/02/2020,15,2,0,1
03/03/2020,20,2,0,1
03/04/2020,28,3,0,1
03/05/2020,36,3,0,1
03/06/2020,42,3,0,1
03/07/2020,51,4,0,1
03/08/2020,51,5,0,1
03/09/2020,57,7,2,3
03/10/2020,67,5,0,3
03/11/2020,74,6,0,3
03/12/2020,94,10,0,3
03/13/2020,116,13,0,3
03/14/2020,151,19,0,3
03/15/2020,175,20,1,4
03/16/2020,201,27,1,5
03/17/2020,240,38,2,7
03/18/2020,292,47,5,12
03/19/2020,338,61,4,16
03/20/2020,416,77,4,20
03/21/2020,474,89,12,32
03/22/2020,507,97,4,36
03/23/2020,628,120,7,43
03/24/2020,731,148,9,52
03/25/2020,838,160,8,60
03/26/2020,929,190,5,65
03/27/2020,1052,211,11,76
03/28/2020,1132,230,17,93
03/29/2020,1146,246,17,110
03/30/2020,1298,255,17,127
03/31/2020,1323,263,24,151
04/01/2020,1362,275,25,176
04/02/2020,1369,287,20,196
04/03/2020,1417,291,31,227
04/04/2020,1354,276,30,257
04/05/2020,1354,269,20,277
04/06/2020,1438,271,27,304
04/07/2020,1399,268,19,323
04/08/2020,1367,258,28,351
04/09/2020,1333,249,28,379
04/10/2020,1327,240,26,405
04/11/2020,1210,230,25,430
04/12/2020,1204,227,19,449
04/13/2020,1199,225,24,473
04/14/2020,1254,227,24,497
04/15/2020,1150,209,17,514
04/16/2020,1126,196,28,542
04/17/2020,1101,189,15,557
04/18/2020,1008,172,16,573
04/19/2020,984,160,11,584
04/20/2020,1054,169,12,596
04/21/2020,984,157,17,613
04/22/2020,915,142,12,625
04/23/2020,877,137,22,647
04/24/2020,821,122,15,662
04/25/2020,722,110,15,677
04/26/2020,691,109,5,682
04/27/2020,758,113,7,689
04/28/2020,683,100,10,699
04/29/2020,642,94,10,709
04/30/2020,598,91,12,721
05/01/2020,504,87,5,726
05/02/2020,512,88,11,737
05/03/2020,506,83,5,742
05/04/2020,558,84,8,750
05/05/2020,498,80,9,759
05/06/2020,453,74,7,766
05/07/2020,411,65,4,770
05/08/2020,361,62,3,773
05/09/2020,356,59,4,777
05/10/2020,353,57,4,781
05/11/2020,387,59,3,784
05/12/2020,333,51,8,792
05/13/2020,298,50,4,796
05/14/2020,270,43,2,798
05/15/2020,247,41,6,804
05/16/2020,202,35,8,812
05/17/2020,188,33,7,819
05/18/2020,200,34,2,821
05/19/2020,190,31,4,825
05/20/2020,154,31,1,826
05/21/2020,115,21,0,826
05/22/2020,124,22,3,829
05/23/2020,92,19,0,829
05/24/2020,91,19,1,830
05/25/2020,102,19,1,831
05/26/2020,74,13,0,831
05/27/2020,54,12,1,832
05/28/2020,46,12,0,832
05/29/2020,28,8,1,833
05/30/2020,18,7,1,834
05/31/2020,16,6,0,834
